sample;read1;read2
1;Carbapenemases_illumina/400204-17_S1_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400204-17_S1_L001_R2_001_val_2.fq.gz
1;Carbapenemases_illumina/400266-13_S1_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400266-13_S1_L001_R2_001_val_2.fq.gz
16;Carbapenemases_illumina/400354-14_S16_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400354-14_S16_L001_R2_001_val_2.fq.gz
1;Carbapenemases_illumina/400360-17_S1_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400360-17_S1_L001_R2_001_val_2.fq.gz
2;Carbapenemases_illumina/400455-13_S2_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400455-13_S2_L001_R2_001_val_2.fq.gz
7;Carbapenemases_illumina/400607-17_S7_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400607-17_S7_L001_R2_001_val_2.fq.gz
25;Carbapenemases_illumina/400695-12_S25_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400695-12_S25_L001_R2_001_val_2.fq.gz
22;Carbapenemases_illumina/400696-12_S22_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400696-12_S22_L001_R2_001_val_2.fq.gz
1;Carbapenemases_illumina/400751-14_S1_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400751-14_S1_L001_R2_001_val_2.fq.gz
8;Carbapenemases_illumina/400772-14_S8_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400772-14_S8_L001_R2_001_val_2.fq.gz
18;Carbapenemases_illumina/400793-11_S18_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400793-11_S18_L001_R2_001_val_2.fq.gz
2;Carbapenemases_illumina/400840-14_S2_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400840-14_S2_L001_R2_001_val_2.fq.gz
3;Carbapenemases_illumina/400854-13_S3_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400854-13_S3_L001_R2_001_val_2.fq.gz
4;Carbapenemases_illumina/400924-13_S4_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400924-13_S4_L001_R2_001_val_2.fq.gz
5;Carbapenemases_illumina/400925-13_S5_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400925-13_S5_L001_R2_001_val_2.fq.gz
6;Carbapenemases_illumina/400960-13_S6_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/400960-13_S6_L001_R2_001_val_2.fq.gz
29;Carbapenemases_illumina/401068-12_S29_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401068-12_S29_L001_R2_001_val_2.fq.gz
23;Carbapenemases_illumina/401075-12_S23_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401075-12_S23_L001_R2_001_val_2.fq.gz
24;Carbapenemases_illumina/401084-17_S24_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401084-17_S24_L001_R2_001_val_2.fq.gz
47;Carbapenemases_illumina/401125-16_S47_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401125-16_S47_L001_R2_001_val_2.fq.gz
3;Carbapenemases_illumina/401269-14_S3_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401269-14_S3_L001_R2_001_val_2.fq.gz
5;Carbapenemases_illumina/401433-14_S5_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401433-14_S5_L001_R2_001_val_2.fq.gz
4;Carbapenemases_illumina/401508-14_S4_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401508-14_S4_L001_R2_001_val_2.fq.gz
8;Carbapenemases_illumina/401589-13_S8_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401589-13_S8_L001_R2_001_val_2.fq.gz
10;Carbapenemases_illumina/401608-14_S10_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401608-14_S10_L001_R2_001_val_2.fq.gz
6;Carbapenemases_illumina/401629-14_S6_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401629-14_S6_L001_R2_001_val_2.fq.gz
8;Carbapenemases_illumina/401649-2-14_S8_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401649-2-14_S8_L001_R2_001_val_2.fq.gz
7;Carbapenemases_illumina/401649-3-14_S7_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401649-3-14_S7_L001_R2_001_val_2.fq.gz
9;Carbapenemases_illumina/401677-14_S9_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401677-14_S9_L001_R2_001_val_2.fq.gz
9;Carbapenemases_illumina/401717-13_S9_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401717-13_S9_L001_R2_001_val_2.fq.gz
11;Carbapenemases_illumina/401801-14_S11_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401801-14_S11_L001_R2_001_val_2.fq.gz
10;Carbapenemases_illumina/401805-2-13_S10_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401805-2-13_S10_L001_R2_001_val_2.fq.gz
11;Carbapenemases_illumina/401805-3-13_S11_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401805-3-13_S11_L001_R2_001_val_2.fq.gz
30;Carbapenemases_illumina/401808-12_S30_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401808-12_S30_L001_R2_001_val_2.fq.gz
24;Carbapenemases_illumina/401811-12_S24_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/401811-12_S24_L001_R2_001_val_2.fq.gz
12;Carbapenemases_illumina/402152-13_S12_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/402152-13_S12_L001_R2_001_val_2.fq.gz
13;Carbapenemases_illumina/402592-13_S13_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/402592-13_S13_L001_R2_001_val_2.fq.gz
15;Carbapenemases_illumina/402738-10_S15_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/402738-10_S15_L001_R2_001_val_2.fq.gz
16;Carbapenemases_illumina/402840-10_S16_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/402840-10_S16_L001_R2_001_val_2.fq.gz
17;Carbapenemases_illumina/402859-10_S17_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/402859-10_S17_L001_R2_001_val_2.fq.gz
14;Carbapenemases_illumina/402894-13_S14_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/402894-13_S14_L001_R2_001_val_2.fq.gz
21;Carbapenemases_illumina/402949-11_S21_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/402949-11_S21_L001_R2_001_val_2.fq.gz
6;Carbapenemases_illumina/402962-16_S6_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/402962-16_S6_L001_R2_001_val_2.fq.gz
15;Carbapenemases_illumina/403091-13_S15_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/403091-13_S15_L001_R2_001_val_2.fq.gz
30;Carbapenemases_illumina/403161_S30_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/403161_S30_L001_R2_001_val_2.fq.gz
8;Carbapenemases_illumina/403172-17_S8_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/403172-17_S8_L001_R2_001_val_2.fq.gz
8;Carbapenemases_illumina/403243-11_S8_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/403243-11_S8_L001_R2_001_val_2.fq.gz
24;Carbapenemases_illumina/403420-17_S24_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/403420-17_S24_L001_R2_001_val_2.fq.gz
9;Carbapenemases_illumina/403425_S9_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/403425_S9_L001_R2_001_val_2.fq.gz
9;Carbapenemases_illumina/403499-17_S9_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/403499-17_S9_L001_R2_001_val_2.fq.gz
8;Carbapenemases_illumina/403646-16_S8_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/403646-16_S8_L001_R2_001_val_2.fq.gz
41;Carbapenemases_illumina/403669-15_S41_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/403669-15_S41_L001_R2_001_val_2.fq.gz
1;Carbapenemases_illumina/403773-16_S1_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/403773-16_S1_L001_R2_001_val_2.fq.gz
2;Carbapenemases_illumina/403774-16_S2_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/403774-16_S2_L001_R2_001_val_2.fq.gz
42;Carbapenemases_illumina/403850-15_S42_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/403850-15_S42_L001_R2_001_val_2.fq.gz
4;Carbapenemases_illumina/403869-16_S4_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/403869-16_S4_L001_R2_001_val_2.fq.gz
21;Carbapenemases_illumina/403902_S21_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/403902_S21_L001_R2_001_val_2.fq.gz
44;Carbapenemases_illumina/404197-15_S44_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/404197-15_S44_L001_R2_001_val_2.fq.gz
5;Carbapenemases_illumina/404261-16_S5_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/404261-16_S5_L001_R2_001_val_2.fq.gz
8;Carbapenemases_illumina/404387-16_S8_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/404387-16_S8_L001_R2_001_val_2.fq.gz
45;Carbapenemases_illumina/404430-16_S45_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/404430-16_S45_L001_R2_001_val_2.fq.gz
6;Carbapenemases_illumina/404431-16_S6_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/404431-16_S6_L001_R2_001_val_2.fq.gz
18;Carbapenemases_illumina/404482-16_S18_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/404482-16_S18_L001_R2_001_val_2.fq.gz
19;Carbapenemases_illumina/404483-16_S19_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/404483-16_S19_L001_R2_001_val_2.fq.gz
17;Carbapenemases_illumina/404507-16_S17_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/404507-16_S17_L001_R2_001_val_2.fq.gz
7;Carbapenemases_illumina/404556-16_S7_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/404556-16_S7_L001_R2_001_val_2.fq.gz
22;Carbapenemases_illumina/500144_S22_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/500144_S22_L001_R2_001_val_2.fq.gz
